Timestamp,State,Effective Date,Coverage,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any) ,Reference links
4/13/20 12:10,Virginia,2020-03-23,State-wide,,,,,,Schools closed,,Some (cherry-picked) businesses closed,"""On March 23, Northam announced schools will be closed for the remainder of the academic year.""  and """"Barbershops, gyms, theaters, bowling alleys, and any other business that allows the group of more than ten people, will be banned.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#cite_note-764
4/13/20 12:05,Washington,2020-03-23,State-wide,,,Shelter-in-place order,,,,,,"""Governor Inslee announced a statewide stay-at-home order on March 23, to last at least two weeks.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Washington_(state)#Government_response
4/13/20 11:38,West Virginia,2020-03-23,State-wide,,,Shelter-in-place order,,,,,,"""On March 23, Governor Justice announced a stay-at-home order to be effective at 8 p.m. on the same day and ordered non-essential businesses to close immediately.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#cite_note-764
4/13/20 11:25,Wisconsin,2020-03-23,Milwaukee,,,Shelter-in-place order,,,,,,"""On March 23, the City of Milwaukee issued a stay-at-home order effective that day""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#cite_note-764
4/10/20 14:49,Alabama,2020-03-24,Birmingham,,,Shelter-in-place order,,,,,,"""On March 24, Birmingham issued a stay-at-home order (as a 24-hour curfew) effective March 24 to April 3.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alabama
4/10/20 16:23,Arkansas,2020-03-24,State-wide,,,,,,,,Some (cherry-picked) businesses closed,"""Smith announced that barber shops, beauty and nail salons, massage parlors, and tattoo shops would close beginning Tuesday, March 24"" ",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas
4/11/20 10:59,Florida,2020-03-24,Miami Beach and Alachua,,,Shelter-in-place order,,,,,,"""On March 23, Miami Beach issued a stay-at-home order effective March 24."" and ""Alachua County issued a stay-at-home order effective March 24 until further notice""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/20 11:25,Florida,2020-03-24,State-wide,,Travel restrictions for out of state travelers,,,,,,,"""On March 27, DeSantis expanded a previous order requiring airline travelers from New York City to self-quarantine for fourteen days to include people who enter from Louisiana via Interstate 10."" and ""The recommendation follows an order that took effect Tuesday by Florida Gov. Ron DeSantis requiring anyone flying to Florida from New York, New Jersey or Connecticut to self-isolate for 14 days upon arrival.""",https://www.usatoday.com/story/travel/airline-news/2020/03/24/new-york-travelers-told-self-quarantine-coronavirus-covid-19/2913222001/ and https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Florida#Government_response
4/11/20 11:41,Georgia,2020-03-24,"Atlanta, Blakely, Brookhaven, Carroll, Lowndes, Pickens, Rome, Sandy Springs, Tifton, and Savannah",,,Shelter-in-place order,,,,,,"""On March 23, Atlanta issued a stay-at-home order effective March 24 for 14 days."" and ""Rome issued a stay-at-home order effective March 24 through April 7."" and ""Tifton issued a shelter-in-place order effective March 24 through April 7."" and ""Savannah issued a shelter-in-place order effective March 24 through April 8."" and ""On March 24, Lowndes County issued a voluntary shelter-in-place order effective until April 6."" and ""Carroll County issued a shelter-in-place order effective until April 12 at the earliest"" and "" Sandy Springs issued a shelter-in-place order on March 24."" and ""Brookhaven issued a shelter-in-place order effective March 24 through April 15"" and "" Blakely issued a shelter-in-place order effective March 24 until further notice."" and  ""Pickens County issued a shelter-in-place order effective March 24 through April 7.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/20 14:30,Kansas,2020-03-24,Douglas ,,,Shelter-in-place order,,,,,,"""Douglas County issued an order effective March 24 until April 23 at the earliest""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
